"Region1 2D Boundaries: Direction [1,0,0] (m)","Region1 2D Boundaries: cf_num","Cf_wall_inf_exp: X","Cf_wall_inf_exp: Cf"
0.0033125000000000016,-8.087689868065247E-4,-0.05024,0.00288
0.009937499999999997,-0.0013160243671107704,-0.02291,0.00285
0.016562499999999994,-0.0014012102563920256,-0.01021,0.00311
0.0231875,-8.213476293753323E-4,0.0,0.0
0.0298125,-1.8276173487533995E-4,0.00615,9.0E-5
0.0364375,4.6135154585779173E-4,0.02291,-1.1E-4
0.0430625,8.441805486856319E-4,0.03561,-5.2E-4
0.049687499999999996,0.001121097941932585,0.04831,-0.00102
0.0563125,0.001327447570411605,0.06101,-8.2E-4
0.06293750000000001,0.0014695711203937022,0.0747,-2.2E-4
0.0695625,0.0015731660364458949,0.09004,4.5E-4
0.0761875,0.0016420306097316474,0.10132,0.00102
0.08842708333333334,0.0017200508587932168,0.11679,0.00118
0.10628125,0.0017670603607849533,0.14219,0.00154
0.12413541666666666,0.0018013280023078501,0.16759,0.00173
0.14198958333333334,0.0018198337502795797,0.20569,0.00191
0.15984374999999998,0.0018344527564161381,0.25649,0.00202
0.17769791666666668,0.001848629135564461,0.30653,0.00204
0.19555208333333335,0.0018629526308161185,0.35725,0.00205
0.21340625,0.0018775746487656628,0.40889,0.00212
0.23126041666666666,0.001892454446856164,0.45712,0.0023
0.24911458333333333,0.001907446921318935,null,null
0.26696875,0.0019223779105467995,null,null
0.2848229166666667,0.001937092896879226,null,null
0.3026770833333333,0.0019514626395465084,null,null
0.32053125,0.0019653796244801136,null,null
0.33838541666666666,0.001978765939158201,null,null
0.35623958333333333,0.0019915646688443123,null,null
0.37409375,0.0020037397401368607,null,null
0.3919479166666667,0.0020152718543804634,null,null
0.40980208333333334,0.0020261544432482867,null,null
0.42765624999999996,0.0020363918392447946,null,null
0.4455104166666667,0.0020459943292083648,null,null
0.4633645833333333,0.0020550394615093735,null,null
0.48121875,0.0020632776429118645,null,null
0.49907291666666664,0.0020712587831620242,null,null
-0.04656666666666666,0.0014901148161036513,null,null
-0.038099999999999995,0.0016735414991708294,null,null
-0.02963333333333333,0.0018446378414674674,null,null
-0.021166666666666663,0.0020081067189184018,null,null
-0.012699999999999996,0.0021660798413011425,null,null
-0.004233333333333332,0.0023408929518264118,null,null
