"Region1 2D Boundaries: Direction [1,0,0] (m)","Region1 2D Boundaries: cf_num","Cf_wall_inf_exp: X","Cf_wall_inf_exp: Cf"
7.949999999999962E-4,-3.9485595625847864E-5,-0.05024,0.00288
0.002384999999999993,-2.8514908050754497E-4,-0.02291,0.00285
0.003974999999999994,-5.191625059843626E-4,-0.01021,0.00311
0.0055649999999999875,-7.63390543617759E-4,0.0,0.0
0.007154999999999976,-9.69148658596306E-4,0.00615,9.0E-5
0.008744999999999972,-0.0011529721234805983,0.02291,-1.1E-4
0.01033499999999997,-0.0013072373129694465,0.03561,-5.2E-4
0.011924999999999967,-0.0014401488120265801,0.04831,-0.00102
0.013514999999999963,-0.0015538855855597425,0.06101,-8.2E-4
0.015104999999999955,-0.0016423141702590466,0.0747,-2.2E-4
0.016694999999999953,-0.0017078465944656634,0.09004,4.5E-4
0.018284999999999954,-0.0017499739879810277,0.10132,0.00102
0.019874999999999955,-0.0017652767674272126,0.11679,0.00118
0.021464999999999963,-0.0017545571601367477,0.14219,0.00154
0.023054999999999964,-0.0017180110315237176,0.16759,0.00173
0.024644999999999966,-0.0016573344520763695,0.20569,0.00191
0.02623499999999997,-0.0015755055713682557,0.25649,0.00202
0.027824999999999968,-0.0014759330776948627,0.30653,0.00204
0.029414999999999965,-0.0013620772034486424,0.35725,0.00205
0.031004999999999967,-0.0012375394184904898,0.40889,0.00212
0.03259499999999996,-0.001105367967844341,0.45712,0.0023
0.03418499999999996,-9.683112426109361E-4,null,null
0.03577499999999997,-8.288236672088027E-4,null,null
0.03736499999999997,-6.89106263737406E-4,null,null
0.038954999999999976,-5.51599583070622E-4,null,null
0.04054499999999998,-4.1571188885932634E-4,null,null
0.04213499999999998,-2.818657681209273E-4,null,null
0.04372499999999998,-1.5248378371682887E-4,null,null
0.04531499999999998,-2.433932621104043E-5,null,null
0.046904999999999974,1.004601684235766E-4,null,null
0.048494999999999976,2.0432682068529298E-4,null,null
0.05008499999999998,3.043608418742198E-4,null,null
0.051674999999999985,3.9851185023074783E-4,null,null
0.053264999999999986,4.8638354381854587E-4,null,null
0.05485499999999999,5.68559662502294E-4,null,null
0.05644499999999998,6.453744918236382E-4,null,null
0.05803499999999998,7.171977950133977E-4,null,null
0.059624999999999984,7.844094545051409E-4,null,null
0.061214999999999985,8.4735978043564E-4,null,null
0.06280499999999999,9.063937615483361E-4,null,null
0.06439500000000001,9.616644126853977E-4,null,null
0.065985,0.001013362841683047,null,null
0.067575,0.0010621040087290304,null,null
0.069165,0.001107950912073353,null,null
0.07075499999999998,0.0011511408577374429,null,null
0.07234499999999999,0.0011917964327175352,null,null
0.073935,0.0012303389213138153,null,null
0.075525,0.0012663213772739408,null,null
0.07711499999999999,0.0013017534367425084,null,null
0.078705,0.0013285916629851306,null,null
0.08092833333333332,0.0013706127510400572,null,null
0.083785,0.001418660560505957,null,null
0.08664166666666667,0.0014661312494168247,null,null
0.08949833333333335,0.001507288466945402,null,null
0.09235499999999999,0.0015448612433127536,null,null
0.09521166666666667,0.0015790488863582257,null,null
0.09806833333333334,0.0016103269132522328,null,null
0.10092500000000001,0.0016390660342260233,null,null
0.10378166666666667,0.0016655763688353674,null,null
0.10663833333333333,0.0016901076377204886,null,null
0.10949500000000001,0.0017128645085742844,null,null
0.11235166666666667,0.001734020709965456,null,null
0.11520833333333333,0.0017537244370858932,null,null
0.118065,0.001772102046266907,null,null
0.12092166666666668,0.0017892583416536957,null,null
0.12377833333333332,0.001805287813072182,null,null
0.126635,0.0018202802291377165,null,null
0.12949166666666667,0.0018343155838660803,null,null
0.13234833333333335,0.0018474652371839018,null,null
0.135205,0.0018597953836373764,null,null
0.13806166666666667,0.0018713659462715193,null,null
0.14091833333333334,0.0018822288157335073,null,null
0.14377500000000001,0.0018924316511670658,null,null
0.14663166666666666,0.0019020157664914204,null,null
0.14948833333333333,0.001911022200787498,null,null
0.152345,0.0019194860161954384,null,null
0.15520166666666668,0.0019274400388450284,null,null
0.15805833333333336,0.0019349158805387896,null,null
0.160915,0.0019419448127300219,null,null
0.16377166666666668,0.001948554911206061,null,null
0.16662833333333332,0.0019547726280125743,null,null
0.169485,0.0019606229295528977,null,null
0.17234166666666667,0.0019661290193313465,null,null
0.17519833333333334,0.001971312258974755,null,null
0.17805500000000002,0.0019761935896748083,null,null
0.18091166666666667,0.0019807929079383117,null,null
0.18376833333333334,0.0019851281704990134,null,null
0.186625,0.001989215790673936,null,null
0.18948166666666666,0.001993071001666803,null,null
0.19233833333333333,0.0019967081453879125,null,null
0.195195,0.0020001405680355982,null,null
0.19805166666666668,0.0020033807411961604,null,null
0.20090833333333336,0.002006440386482241,null,null
0.203765,0.0020093307495970478,null,null
0.2066216666666667,0.0020120626432656493,null,null
0.20947833333333338,0.0020146463420231586,null,null
0.21233500000000002,0.0020170915631813314,null,null
0.21519166666666667,0.0020194074012294086,null,null
0.21804833333333334,0.0020216024505470644,null,null
0.22090500000000002,0.002023684776085657,null,null
0.2237616666666667,0.0020256617063562025,null,null
0.22661833333333334,0.0020275398584599855,null,null
0.229475,0.0020293253503471565,null,null
0.2323316666666667,0.00203102396944335,null,null
0.23518833333333336,0.0020326412163108633,null,null
0.238045,0.0020341822631367253,null,null
0.24090166666666668,0.0020356519712782873,null,null
0.24375833333333335,0.0020370549691350473,null,null
0.24661500000000003,0.0020383956537000474,null,null
0.2494716666666667,0.00203967817032982,null,null
0.2523283333333334,0.0020409063912474267,null,null
0.255185,0.0020420839187417317,null,null
0.2580416666666667,0.0020432141254433625,null,null
0.26089833333333334,0.002044300212839715,null,null
0.263755,0.002045345172923169,null,null
0.2666116666666667,0.0020463517223346167,null,null
0.26946833333333337,0.0020473224092924045,null,null
0.27232500000000004,0.0020482593617208644,null,null
0.27518166666666666,0.0020491650471521302,null,null
0.27803833333333333,0.0020500404831183443,null,null
0.280895,0.0020508869321540094,null,null
