frame,x,y,r
0,111.24119794324292,57.176080386230716,90.05321188222237
0,989.833709198813,25.07026706231454,51.785719953462426
0,1525.5436601587642,39.06586569405707,66.71526915562842
0,1866.749478079332,51.62272591708918,32.669451302007666
0,1166.2463800904977,56.37533936651584,37.50906153094682
0,1333.6927807098243,113.00508400716603,81.08054069475504
0,831.3926293653257,170.9090909090909,96.08961894259554
0,1742.2429161358345,211.17939199578262,120.3801307459136
0,538.0633793135054,211.97905687182072,117.86297150858277
0,1886.635687732342,128.48725438130643,34.62304191384916
0,989.0772413793103,123.65241379310345,21.483699284957805
0,1117.0012368583798,210.498616671549,98.89102402758604
0,50.966686148451195,237.01081239041497,33.0038850822283
0,271.85220649458785,261.0932556203164,27.65104603109013
0,1247.2948744129058,286.35674903001836,39.4811792205099
0,1451.924961037121,381.8702536129215,134.0636021203427
0,119.00419815281276,281.7497900923594,27.535688640195463
0,9.413584905660377,299.15849056603776,20.53681083307539
0,702.2883380884451,319.2403708987161,42.25022889545923
0,210.79993786890338,323.5869835352594,45.268963399345076
0,331.74813587406794,328.4254349627175,48.01250041127844
0,1909.6801652892561,317.59504132231405,19.625365277680483
0,65.01548568747067,312.4218676677616,26.044545829360473
0,918.4969584943707,385.49460594858004,97.32065897536191
0,1836.5210199862165,336.65885596140595,21.491106180294217
0,1166.6123906034086,359.6156149239982,37.17662606813614
0,413.032618409294,360.1514745308311,26.69040136976819
0,1095.7179220779221,371.76207792207794,24.753717516845768
0,569.972166998012,383.03512259774686,30.994503327246274
0,1742.5775807473085,378.98986700443317,22.41899440840747
0,1681.4143449911085,383.24125666864256,23.173018318554337
0,115.7754096729251,515.6566211105951,138.53353261139742
0,647.2958,415.0444,39.89422804014327
0,280.7496995192308,416.3798076923077,32.54743156102575
0,490.68184191551256,515.1391133543848,113.1463888616242
0,1196.3341176470587,423.35058823529414,20.14559765517849
0,1863.354470489425,554.7135985340154,91.3116047318095
0,1130.7966486414314,538.2802924093731,97.65207407062076
0,1651.6204933586337,475.0550284629981,31.725318912709863
0,1580.8320563898253,494.42108489120443,32.2280182235537
0,794.3871014076415,573.1049267451882,94.15037817473812
0,968.2483108108108,536.0834942084942,36.319088209172165
0,1522.078046554085,549.8288452761296,26.4086531392399
0,1665.2114551083591,555.661919504644,32.0646367884254
0,300.4938612645795,556.828729281768,32.20331674201883
0,1605.8116591928251,541.5306427503737,14.592782937361742
0,1457.1016949152543,583.6715092816788,39.71830555206083
0,1333.3080213903743,576.7668449197861,17.251659154465237
0,307.1375415282392,619.6671096345515,21.887356594769614
0,1534.8507992895204,619.4831261101243,18.931902488734416
0,944.5676845395528,643.2130319788411,36.38476077478572
0,1684.86230710466,750.6008556149733,102.06219194865722
0,1426.6562941631337,760.3596778924352,109.2592131655299
0,1227.2557755775576,691.483498349835,24.055921788244397
0,633.0509018222388,789.9273893640759,117.02548672477893
0,416.1397326852977,713.9249088699878,36.191783344376645
0,1013.3277467411546,709.975791433892,26.148224328293928
0,888.7959795736402,800.0210748155954,88.6226727857993
0,73.92771084337349,735.2364457831326,20.56004690782767
0,1893.4178583885596,789.1789326822462,30.209178136601597
0,7.023041474654378,787.7465437788019,14.395128895068906
0,1180.1187387341643,876.4163598974333,111.97280074595496
0,1036.2845070422536,784.3286384976526,18.411953421235268
0,1829.1657458563536,820.1374309392265,21.468877828012552
0,175.11499789270877,954.7033987597086,145.42089120379615
0,1790.4425989252566,853.9960918417196,25.526071711452577
0,1588.0754583921016,867.685472496474,21.245315215562588
0,461.24568843652816,891.6717557251908,33.55386814410625
0,1832.0481792717087,902.0717086834734,23.8365926012521
0,1484.2087330466425,909.8759510420113,31.02016740660178
0,396.21100278551535,910.115947075209,30.23550881198871
0,959.5542949756888,900.5202593192869,19.819041337834626
0,525.4367283950618,936.0273919753087,28.723844188903154
0,1718.2533329559285,1013.9131025503128,106.04513175524438
0,475.078313253012,953.5224534501643,24.108792009795966
0,1877.8809106830122,962.5437828371279,26.963304323539017
0,1437.8060836501902,955.8365019011407,20.45916665780121
0,1344.4356435643565,973.9041404140414,26.594822185913987
0,583.1341393206678,981.1401842256764,33.253699713001694
0,413.7343692193859,983.1842397336293,29.332432942986273
0,907.9632200886263,1028.625898572132,80.40443886000816
0,1409.8983790523691,1004.9700748129676,22.595775212167435
0,621.7409236131281,1039.1745570723206,33.10499868797447
0,1458.9083275017495,1051.5703289013295,21.32756027670856
0,464.52132998745293,1070.7998745294856,22.525229379008827
1,111.19868609450013,60.48058620399225,86.94013202957707
1,988.9969390157759,25.18730868848599,51.99734775202595
1,1524.5732370190244,38.913102560434844,66.7128835280095
1,1164.9989151659795,56.385766977652416,38.302614341857804
1,1865.9599878751137,51.5865413761746,32.40531306005738
1,1333.3428167779023,112.71539923028207,80.83283388385361
1,830.6458248055669,171.0586028107518,96.60006533830092
1,1741.9066854513835,211.05428489664737,120.24917130554813
1,1885.8670624677336,128.47160557563242,35.11598637481233
1,537.787526911273,211.90245522422245,117.88997519109361
1,988.2873774509804,123.50061274509804,22.792141940852034
1,1116.148986464607,210.86383653908425,99.14658796513284
1,50.17746228926353,236.79236912156168,32.80557460535322
1,271.1403651115619,260.71237322515213,28.01131681022947
1,1246.6345094839894,286.36691821333875,39.50535877522346
1,1450.987635130361,382.02711439270826,134.239186814569
1,118.24700342465754,281.6690924657534,27.26851470332286
1,8.970774091627172,299.1121642969984,20.074369626682653
1,701.426688335139,319.46171903214156,41.985713637924896
1,210.11015516976494,323.28560454754955,45.517898118984945
1,331.21771771771773,328.8346983346983,48.29014626383369
1,1909.6084828711257,317.19331158238174,19.75469363116845
1,917.6105439330544,385.37389121338913,97.5167054906017
1,61.02495201535508,310.30006397952656,22.305119414727752
1,1835.2989619377163,336.4117647058824,21.44662643717136
